dataset,cls,id,chrom,start,end,strand,len_shipped,len_interval,hg38_halfopen,hg38_fwd_ignorestrand,hg38_onebased,hg19_halfopen,hg19_fwd_ignorestrand,hg19_onebased,hg19_halfopen_unevaluable,hg19_onebased_unevaluable,access_date,api
human_nontata_promoters,negative,6517,chr10,47312285,47312536,+,251,251,True,True,False,False,False,False,,,2026-07-20,https://api.genome.ucsc.edu/getData/sequence
human_nontata_promoters,negative,8842,chr14,94568130,94568381,+,251,251,True,True,False,False,False,False,,,2026-07-20,https://api.genome.ucsc.edu/getData/sequence
human_nontata_promoters,negative,6388,chr10,47306696,47306947,+,251,251,True,True,False,False,False,False,,,2026-07-20,https://api.genome.ucsc.edu/getData/sequence
human_nontata_promoters,negative,6690,chr10,47354902,47355153,+,251,251,True,True,False,False,False,False,,,2026-07-20,https://api.genome.ucsc.edu/getData/sequence
human_nontata_promoters,negative,2310,chr4,71750086,71750337,-,251,251,True,False,False,False,False,False,,,2026-07-20,https://api.genome.ucsc.edu/getData/sequence
human_nontata_promoters,negative,3402,chr4,122453693,122453944,-,251,251,True,False,False,False,False,False,,,2026-07-20,https://api.genome.ucsc.edu/getData/sequence
human_nontata_promoters,negative,1475,chr2,10441926,10442177,-,251,251,True,False,False,False,False,False,,,2026-07-20,https://api.genome.ucsc.edu/getData/sequence
human_nontata_promoters,negative,5228,chr7,45920062,45920313,-,251,251,True,False,False,False,False,False,,,2026-07-20,https://api.genome.ucsc.edu/getData/sequence
human_nontata_promoters,negative,7089,chr11,5226323,5226574,-,251,251,True,False,False,False,False,False,,,2026-07-20,https://api.genome.ucsc.edu/getData/sequence
human_nontata_promoters,negative,5397,chr7,99969908,99970159,-,251,251,True,False,False,False,False,False,,,2026-07-20,https://api.genome.ucsc.edu/getData/sequence
human_nontata_promoters,positive,FP007524,chr7,87040164,87040415,-,251,251,True,False,False,False,False,False,,,2026-07-20,https://api.genome.ucsc.edu/getData/sequence
human_nontata_promoters,positive,FP002591,chr2,106468365,106468616,-,251,251,True,False,False,False,False,False,,,2026-07-20,https://api.genome.ucsc.edu/getData/sequence
human_nontata_promoters,positive,FP015855,chr17,60073111,60073362,-,251,251,True,False,False,False,False,False,,,2026-07-20,https://api.genome.ucsc.edu/getData/sequence
human_nontata_promoters,positive,FP009462,chr9,133417932,133418183,-,251,251,True,False,False,False,False,False,,,2026-07-20,https://api.genome.ucsc.edu/getData/sequence
human_nontata_promoters,positive,FP019811,chrY,25052299,25052550,-,251,251,True,False,False,False,False,False,,,2026-07-20,https://api.genome.ucsc.edu/getData/sequence
human_nontata_promoters,positive,FP009522,chr9,137046126,137046377,-,251,251,True,False,False,False,False,False,,,2026-07-20,https://api.genome.ucsc.edu/getData/sequence
human_nontata_promoters,positive,FP005139,chr4,165209680,165209931,+,251,251,True,True,False,False,False,False,,,2026-07-20,https://api.genome.ucsc.edu/getData/sequence
human_nontata_promoters,positive,FP001046,chr1,111542025,111542276,+,251,251,True,True,False,False,False,False,,,2026-07-20,https://api.genome.ucsc.edu/getData/sequence
human_nontata_promoters,positive,FP009678,chr10,24449236,24449487,+,251,251,True,True,False,False,False,False,,,2026-07-20,https://api.genome.ucsc.edu/getData/sequence
human_nontata_promoters,positive,FP003562,chr3,44712459,44712710,+,251,251,True,True,False,False,False,False,,,2026-07-20,https://api.genome.ucsc.edu/getData/sequence
human_nontata_promoters,positive,FP019276,chrX,49598843,49599094,+,251,251,True,True,False,False,False,False,,,2026-07-20,https://api.genome.ucsc.edu/getData/sequence
human_nontata_promoters,positive,FP000841,chr1,74198043,74198294,+,251,251,True,True,False,False,False,False,,,2026-07-20,https://api.genome.ucsc.edu/getData/sequence
